,ProjectID,BuildingID,Number,Street,Borough,Postcode,Latitude,Longitude,Longitude(Internal),Latitude(Internal),LowIncomeUnits
0,61875,413.0,2070,1 AVENUE,Manhattan,10029.0,40.790368,-73.93951,-73.937682,40.79088,426
1,61875,804652.0,420,EAST 111 STREET,Manhattan,10029.0,40.792277,-73.936532,-73.937682,40.79088,376
2,61875,804825.0,2090,FIRST AVENUE,Manhattan,10029.0,40.790999,-73.939047,-73.937682,40.79088,395
3,61875,804826.0,2116,1 AVENUE,Manhattan,10029.0,40.791649,-73.93857,-73.937682,40.79088,395
4,62299,985940.0,82-41,PARSONS BOULEVARD,Queens,11432.0,40.717176,-73.808203,,,199
5,65349,85429.0,1010,HOE AVENUE,Bronx,10459.0,40.823642,-73.890446,-73.890178,40.82362,15
6,65349,806751.0,1014,HOE AVENUE,Bronx,10459.0,40.823722,-73.890449,-73.890178,40.82362,15
7,65378,3641.0,2550,ADAM C POWELL BOULEVARD,Manhattan,10039.0,40.823298,-73.93787900000001,-73.938222,40.8235,15
8,65378,3642.0,2554,ADAM C POWELL BOULEVARD,Manhattan,10039.0,40.823386,-73.937814,-73.93815,40.8236,13
9,65378,3644.0,2566,ADAM C POWELL BOULEVARD,Manhattan,10039.0,40.823809000000004,-73.93751,-73.937875,40.82398,16
10,65378,3645.0,2568,ADAM C POWELL BOULEVARD,Manhattan,10039.0,40.823855,-73.937474,-73.93781700000001,40.824059999999996,10
11,65378,3648.0,2574,ADAM C POWELL BOULEVARD,Manhattan,10039.0,40.824001,-73.93736899999999,-73.93768299999999,40.82424,9
12,65378,4077.0,2496,FREDERICK DOUGLASS BOULEVARD,Manhattan,10030.0,40.81547,-73.947283,-73.946958,40.81539,16
13,65378,40621.0,106,WEST 134 STREET,Manhattan,10030.0,40.813645,-73.941866,-73.942274,40.81357,19
14,65378,40623.0,112,WEST 134 STREET,Manhattan,10030.0,40.813724,-73.94205,-73.942487,40.81366,10
15,65378,40624.0,114,WEST 134 STREET,Manhattan,10030.0,40.813749,-73.942115,-73.942596,40.81371,10
16,65378,41285.0,132,WEST 139 STREET,Manhattan,10030.0,40.817396,-73.940779,-73.940978,40.81723,10
17,65378,41286.0,134,WEST 139 STREET,Manhattan,10030.0,40.817424,-73.94084699999999,-73.941061,40.81726,10
18,65378,41290.0,140,WEST 139 STREET,Manhattan,10030.0,40.817586,-73.941234,-73.94131,40.817370000000004,10
19,65378,42315.0,202,WEST 149 STREET,Manhattan,10039.0,40.824407,-73.93777,-73.937947,40.82424,10
20,65378,42316.0,204,WEST 149 STREET,Manhattan,10039.0,40.824424,-73.93781,-73.938027,40.82427,10
21,65378,42317.0,206,WEST 149 STREET,Manhattan,10039.0,40.82444,-73.937849,-73.93811,40.8243,9
22,65378,42319.0,216,WEST 149 STREET,Manhattan,10039.0,40.824523,-73.93804399999999,-73.938529,40.82448,18
23,66563,3631.0,2524,ADAM C POWELL BOULEVARD,Manhattan,10039.0,40.822506,-73.938455,-73.938841,40.82263,11
24,67129,986549.0,161-09,89 AVENUE,Queens,11432.0,40.706451,-73.79980400000001,,,69
25,67287,986252.0,14-35,MOTT AVENUE,Queens,11691.0,40.601386,-73.748083,,,63
26,67398,73807.0,55,EAST MOSHOLU PARKWAY NORTH,Bronx,,,,,,44
27,67576,61030.0,3510,DECATUR AVENUE,Bronx,10467.0,40.879075,-73.872396,-73.87207099999999,40.87924,48
28,67619,45499.0,2316,ANDREWS AVENUE NORTH,Bronx,10468.0,40.861794,-73.907027,-73.90686099999999,40.86158,20
29,67619,806247.0,2322,ANDREWS AVENUE,Bronx,10468.0,40.861915,-73.90691899999999,-73.90686099999999,40.86158,21
30,67699,458160.0,71-15,65 STREET,Queens,11385.0,40.702042,-73.890599,-73.89026700000001,40.70194,9
31,67699,458161.0,71-21,65 STREET,Queens,11385.0,40.701989000000005,-73.89057700000001,-73.890206,40.70178,15
32,67699,458162.0,71-27,65 STREET,Queens,11385.0,40.70194,-73.890555,-73.890141,40.70163,5
33,67705,234677.0,778,DRIGGS AVENUE,Brooklyn,11211.0,40.711683,-73.961224,-73.961505,40.711659999999995,28
34,67705,372140.0,296,SOUTH 3 STREET,Brooklyn,11211.0,40.709877,-73.955324,-73.955457,40.70969,24
35,67705,372152.0,334,SOUTH 3 STREET,Brooklyn,11211.0,40.709331,-73.95383100000001,-73.954008,40.70917,18
36,68076,967819.0,3595,BROADWAY,Manhattan,10031.0,40.828165000000006,-73.949199,-73.949528,40.8283,3
37,68177,4540.0,834,8 AVENUE,Manhattan,10019.0,40.762505,-73.985936,-73.985517,40.76253,247
38,68189,9796.0,581,COLUMBUS AVENUE,Manhattan,10024.0,40.787883,-73.97114300000001,-73.970605,40.787929999999996,167
39,68663,990823.0,410,TOMPKINS AVENUE,Brooklyn,11216.0,40.68313,-73.94388000000001,-73.944154,40.683,0
40,68664,972949.0,412,EVERGREEN AVENUE,Brooklyn,11221.0,40.693267999999996,-73.92223100000001,-73.922365,40.69313,0
48,63151,988458.0,720,TIFFANY STREET,Bronx,10474.0,40.814593,-73.891324,-73.890876,40.814659999999996,182
49,64027,988996.0,60,EAST 112 STREET,Manhattan,10029.0,40.796931,-73.94550699999999,-73.946106,40.79674,223
50,64027,990498.0,75,EAST 111 STREET,Manhattan,10029.0,40.79636,-73.946114,-73.946106,40.79674,65
51,64406,989393.0,1164,RIVER AVENUE,Bronx,10452.0,40.834696,-73.92188900000001,,,249
52,65392,1338.0,2385,2 AVENUE,Manhattan,10035.0,40.800872,-73.934866,-73.935437,40.80124,207
53,65392,1339.0,2391,2 AVENUE,Manhattan,10035.0,40.801080999999996,-73.934718,-73.93537099999999,40.80153,90
54,65392,2098.0,2243,3 AVENUE,Manhattan,10035.0,40.801859,-73.937148,-73.93663199999999,40.80193,202
55,65392,20396.0,219,EAST 122 STREET,Manhattan,10035.0,40.80151,-73.936596,-73.936151,40.80173,147
56,66644,985451.0,96,NEW LOTS AVENUE,Brooklyn,11212.0,40.657993,-73.901703,-73.901325,40.65764,118
57,66670,184823.0,19,ARLINGTON PLACE,Brooklyn,11216.0,40.681009,-73.951183,-73.95094499999999,40.68104,5
58,66670,185649.0,1369,ATLANTIC AVENUE,Brooklyn,11216.0,40.678212,-73.944965,-73.944879,40.67856,15
59,66670,185651.0,1371,ATLANTIC AVENUE,Brooklyn,11216.0,40.678209,-73.944908,-73.944771,40.67856,16
60,66670,205471.0,1055,BEDFORD AVENUE,Brooklyn,11216.0,40.687754,-73.954773,-73.954462,40.68775,9
61,66670,205561.0,1204,BEDFORD AVENUE,Brooklyn,11216.0,40.682959000000004,-73.95384200000001,-73.954134,40.68293,6
62,66670,211821.0,31,BREVOORT PLACE,Brooklyn,11216.0,40.68011,-73.954136,-73.954258,40.68034,4
63,66670,213537.0,544,BRISTOL STREET,Brooklyn,11212.0,40.657414,-73.909543,-73.90981,40.6575,6
64,66670,219550.0,518,CHESTER STREET,Brooklyn,11212.0,40.658734,-73.90892099999999,-73.90920200000001,40.65871,4
65,66670,219614.0,618,CHESTER STREET,Brooklyn,11212.0,40.656455,-73.908337,-73.908571,40.656279999999995,4
