,C/A,UNIT,SCP,STATION,LINENAME,DATE,ENTRIES,EXITS,PREV_DATE,PREV_ENTRIES,PREV_EXITS,DIFF_ENTRIES,DIFF_EXITS,stationline,Latitude,Longitude
0,A002,R051,02-00-00,59 ST,NQR456,09/15/2019,7199547,2438545,09/14/2019,7198818.0,2438323.0,729.0,222.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
1,A002,R051,02-00-00,59 ST,NQR456,09/16/2019,7200082,2438751,09/15/2019,7199547.0,2438545.0,535.0,206.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
2,A002,R051,02-00-00,59 ST,NQR456,09/17/2019,7201361,2439262,09/16/2019,7200082.0,2438751.0,1279.0,511.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
3,A002,R051,02-00-00,59 ST,NQR456,09/18/2019,7202723,2439810,09/17/2019,7201361.0,2439262.0,1362.0,548.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
4,A002,R051,02-00-00,59 ST,NQR456,09/19/2019,7204156,2440344,09/18/2019,7202723.0,2439810.0,1433.0,534.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
5,A002,R051,02-00-00,59 ST,NQR456,09/20/2019,7205553,2440836,09/19/2019,7204156.0,2440344.0,1397.0,492.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
6,A002,R051,02-00-01,59 ST,NQR456,09/15/2019,6405845,1437917,09/14/2019,6405270.0,1437787.0,575.0,130.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
7,A002,R051,02-00-01,59 ST,NQR456,09/16/2019,6406320,1438030,09/15/2019,6405845.0,1437917.0,475.0,113.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
8,A002,R051,02-00-01,59 ST,NQR456,09/17/2019,6407394,1438299,09/16/2019,6406320.0,1438030.0,1074.0,269.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
9,A002,R051,02-00-01,59 ST,NQR456,09/18/2019,6408516,1438613,09/17/2019,6407394.0,1438299.0,1122.0,314.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
10,A002,R051,02-00-01,59 ST,NQR456,09/19/2019,6409684,1438947,09/18/2019,6408516.0,1438613.0,1168.0,334.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
11,A002,R051,02-00-01,59 ST,NQR456,09/20/2019,6410812,1439236,09/19/2019,6409684.0,1438947.0,1128.0,289.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
12,A002,R051,02-03-00,59 ST,NQR456,09/15/2019,1286826,4840135,09/14/2019,1286482.0,4839072.0,344.0,1063.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
13,A002,R051,02-03-00,59 ST,NQR456,09/16/2019,1287079,4841049,09/15/2019,1286826.0,4840135.0,253.0,914.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
14,A002,R051,02-03-00,59 ST,NQR456,09/17/2019,1287552,4843092,09/16/2019,1287079.0,4841049.0,473.0,2043.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
15,A002,R051,02-03-00,59 ST,NQR456,09/18/2019,1288055,4845323,09/17/2019,1287552.0,4843092.0,503.0,2231.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
16,A002,R051,02-03-00,59 ST,NQR456,09/19/2019,1288573,4847767,09/18/2019,1288055.0,4845323.0,518.0,2444.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
17,A002,R051,02-03-00,59 ST,NQR456,09/20/2019,1289066,4850159,09/19/2019,1288573.0,4847767.0,493.0,2392.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
18,A002,R051,02-03-01,59 ST,NQR456,09/15/2019,1252564,1908999,09/14/2019,1251649.0,1907733.0,915.0,1266.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
19,A002,R051,02-03-01,59 ST,NQR456,09/16/2019,1253352,1910008,09/15/2019,1252564.0,1908999.0,788.0,1009.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
20,A002,R051,02-03-01,59 ST,NQR456,09/17/2019,1254707,1911953,09/16/2019,1253352.0,1910008.0,1355.0,1945.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
21,A002,R051,02-03-01,59 ST,NQR456,09/18/2019,1256094,1913909,09/17/2019,1254707.0,1911953.0,1387.0,1956.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
22,A002,R051,02-03-01,59 ST,NQR456,09/19/2019,1257502,1916063,09/18/2019,1256094.0,1913909.0,1408.0,2154.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
23,A002,R051,02-03-01,59 ST,NQR456,09/20/2019,1258854,1918194,09/19/2019,1257502.0,1916063.0,1352.0,2131.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
24,A002,R051,02-03-02,59 ST,NQR456,09/15/2019,6339037,8490683,09/14/2019,6338156.0,8489856.0,881.0,827.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
25,A002,R051,02-03-02,59 ST,NQR456,09/16/2019,6339754,8491436,09/15/2019,6339037.0,8490683.0,717.0,753.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
26,A002,R051,02-03-02,59 ST,NQR456,09/17/2019,6341064,8492889,09/16/2019,6339754.0,8491436.0,1310.0,1453.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
27,A002,R051,02-03-02,59 ST,NQR456,09/18/2019,6342489,8494419,09/17/2019,6341064.0,8492889.0,1425.0,1530.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
28,A002,R051,02-03-02,59 ST,NQR456,09/19/2019,6343947,8495897,09/18/2019,6342489.0,8494419.0,1458.0,1478.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
29,A002,R051,02-03-02,59 ST,NQR456,09/20/2019,6345327,8497349,09/19/2019,6343947.0,8495897.0,1380.0,1452.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
30,A002,R051,02-03-03,59 ST,NQR456,09/15/2019,5873261,6702624,09/14/2019,5872588.0,6702138.0,673.0,486.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
31,A002,R051,02-03-03,59 ST,NQR456,09/16/2019,5873786,6703055,09/15/2019,5873261.0,6702624.0,525.0,431.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
32,A002,R051,02-03-03,59 ST,NQR456,09/17/2019,5874950,6704070,09/16/2019,5873786.0,6703055.0,1164.0,1015.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
33,A002,R051,02-03-03,59 ST,NQR456,09/18/2019,5876116,6705219,09/17/2019,5874950.0,6704070.0,1166.0,1149.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
34,A002,R051,02-03-03,59 ST,NQR456,09/19/2019,5877377,6706335,09/18/2019,5876116.0,6705219.0,1261.0,1116.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
35,A002,R051,02-03-03,59 ST,NQR456,09/20/2019,5878650,6707367,09/19/2019,5877377.0,6706335.0,1273.0,1032.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
36,A002,R051,02-03-04,59 ST,NQR456,09/15/2019,7263360,3746810,09/14/2019,7262571.0,3746576.0,789.0,234.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
37,A002,R051,02-03-04,59 ST,NQR456,09/16/2019,7264051,3746979,09/15/2019,7263360.0,3746810.0,691.0,169.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
