,C/A,UNIT,SCP,STATION,LINENAME,DATE,ENTRIES,EXITS,PREV_DATE,PREV_ENTRIES,PREV_EXITS,DIFF_ENTRIES,DIFF_EXITS
1,A002,R051,02-00-00,59 ST,NQR456W,09/15/2019,7199547,2438545,09/14/2019,7198818.0,2438323.0,729.0,222.0
2,A002,R051,02-00-00,59 ST,NQR456W,09/16/2019,7200082,2438751,09/15/2019,7199547.0,2438545.0,535.0,206.0
3,A002,R051,02-00-00,59 ST,NQR456W,09/17/2019,7201361,2439262,09/16/2019,7200082.0,2438751.0,1279.0,511.0
4,A002,R051,02-00-00,59 ST,NQR456W,09/18/2019,7202723,2439810,09/17/2019,7201361.0,2439262.0,1362.0,548.0
5,A002,R051,02-00-00,59 ST,NQR456W,09/19/2019,7204156,2440344,09/18/2019,7202723.0,2439810.0,1433.0,534.0
6,A002,R051,02-00-00,59 ST,NQR456W,09/20/2019,7205553,2440836,09/19/2019,7204156.0,2440344.0,1397.0,492.0
8,A002,R051,02-00-01,59 ST,NQR456W,09/15/2019,6405845,1437917,09/14/2019,6405270.0,1437787.0,575.0,130.0
9,A002,R051,02-00-01,59 ST,NQR456W,09/16/2019,6406320,1438030,09/15/2019,6405845.0,1437917.0,475.0,113.0
10,A002,R051,02-00-01,59 ST,NQR456W,09/17/2019,6407394,1438299,09/16/2019,6406320.0,1438030.0,1074.0,269.0
11,A002,R051,02-00-01,59 ST,NQR456W,09/18/2019,6408516,1438613,09/17/2019,6407394.0,1438299.0,1122.0,314.0
12,A002,R051,02-00-01,59 ST,NQR456W,09/19/2019,6409684,1438947,09/18/2019,6408516.0,1438613.0,1168.0,334.0
13,A002,R051,02-00-01,59 ST,NQR456W,09/20/2019,6410812,1439236,09/19/2019,6409684.0,1438947.0,1128.0,289.0
15,A002,R051,02-03-00,59 ST,NQR456W,09/15/2019,1286826,4840135,09/14/2019,1286482.0,4839072.0,344.0,1063.0
16,A002,R051,02-03-00,59 ST,NQR456W,09/16/2019,1287079,4841049,09/15/2019,1286826.0,4840135.0,253.0,914.0
17,A002,R051,02-03-00,59 ST,NQR456W,09/17/2019,1287552,4843092,09/16/2019,1287079.0,4841049.0,473.0,2043.0
18,A002,R051,02-03-00,59 ST,NQR456W,09/18/2019,1288055,4845323,09/17/2019,1287552.0,4843092.0,503.0,2231.0
19,A002,R051,02-03-00,59 ST,NQR456W,09/19/2019,1288573,4847767,09/18/2019,1288055.0,4845323.0,518.0,2444.0
20,A002,R051,02-03-00,59 ST,NQR456W,09/20/2019,1289066,4850159,09/19/2019,1288573.0,4847767.0,493.0,2392.0
22,A002,R051,02-03-01,59 ST,NQR456W,09/15/2019,1252564,1908999,09/14/2019,1251649.0,1907733.0,915.0,1266.0
23,A002,R051,02-03-01,59 ST,NQR456W,09/16/2019,1253352,1910008,09/15/2019,1252564.0,1908999.0,788.0,1009.0
24,A002,R051,02-03-01,59 ST,NQR456W,09/17/2019,1254707,1911953,09/16/2019,1253352.0,1910008.0,1355.0,1945.0
25,A002,R051,02-03-01,59 ST,NQR456W,09/18/2019,1256094,1913909,09/17/2019,1254707.0,1911953.0,1387.0,1956.0
26,A002,R051,02-03-01,59 ST,NQR456W,09/19/2019,1257502,1916063,09/18/2019,1256094.0,1913909.0,1408.0,2154.0
27,A002,R051,02-03-01,59 ST,NQR456W,09/20/2019,1258854,1918194,09/19/2019,1257502.0,1916063.0,1352.0,2131.0
29,A002,R051,02-03-02,59 ST,NQR456W,09/15/2019,6339037,8490683,09/14/2019,6338156.0,8489856.0,881.0,827.0
30,A002,R051,02-03-02,59 ST,NQR456W,09/16/2019,6339754,8491436,09/15/2019,6339037.0,8490683.0,717.0,753.0
31,A002,R051,02-03-02,59 ST,NQR456W,09/17/2019,6341064,8492889,09/16/2019,6339754.0,8491436.0,1310.0,1453.0
32,A002,R051,02-03-02,59 ST,NQR456W,09/18/2019,6342489,8494419,09/17/2019,6341064.0,8492889.0,1425.0,1530.0
33,A002,R051,02-03-02,59 ST,NQR456W,09/19/2019,6343947,8495897,09/18/2019,6342489.0,8494419.0,1458.0,1478.0
34,A002,R051,02-03-02,59 ST,NQR456W,09/20/2019,6345327,8497349,09/19/2019,6343947.0,8495897.0,1380.0,1452.0
36,A002,R051,02-03-03,59 ST,NQR456W,09/15/2019,5873261,6702624,09/14/2019,5872588.0,6702138.0,673.0,486.0
37,A002,R051,02-03-03,59 ST,NQR456W,09/16/2019,5873786,6703055,09/15/2019,5873261.0,6702624.0,525.0,431.0
38,A002,R051,02-03-03,59 ST,NQR456W,09/17/2019,5874950,6704070,09/16/2019,5873786.0,6703055.0,1164.0,1015.0
39,A002,R051,02-03-03,59 ST,NQR456W,09/18/2019,5876116,6705219,09/17/2019,5874950.0,6704070.0,1166.0,1149.0
40,A002,R051,02-03-03,59 ST,NQR456W,09/19/2019,5877377,6706335,09/18/2019,5876116.0,6705219.0,1261.0,1116.0
41,A002,R051,02-03-03,59 ST,NQR456W,09/20/2019,5878650,6707367,09/19/2019,5877377.0,6706335.0,1273.0,1032.0
43,A002,R051,02-03-04,59 ST,NQR456W,09/15/2019,7263360,3746810,09/14/2019,7262571.0,3746576.0,789.0,234.0
44,A002,R051,02-03-04,59 ST,NQR456W,09/16/2019,7264051,3746979,09/15/2019,7263360.0,3746810.0,691.0,169.0
45,A002,R051,02-03-04,59 ST,NQR456W,09/17/2019,7265351,3747528,09/16/2019,7264051.0,3746979.0,1300.0,549.0
46,A002,R051,02-03-04,59 ST,NQR456W,09/18/2019,7266704,3748082,09/17/2019,7265351.0,3747528.0,1353.0,554.0
47,A002,R051,02-03-04,59 ST,NQR456W,09/19/2019,7268118,3748591,09/18/2019,7266704.0,3748082.0,1414.0,509.0
48,A002,R051,02-03-04,59 ST,NQR456W,09/20/2019,7269565,3749139,09/19/2019,7268118.0,3748591.0,1447.0,548.0
50,A002,R051,02-03-05,59 ST,NQR456W,09/15/2019,11631277,1414662,09/14/2019,11629970.0,1414590.0,1307.0,72.0
51,A002,R051,02-03-05,59 ST,NQR456W,09/16/2019,11632374,1414701,09/15/2019,11631277.0,1414662.0,1097.0,39.0
52,A002,R051,02-03-05,59 ST,NQR456W,09/17/2019,11634385,1414820,09/16/2019,11632374.0,1414701.0,2011.0,119.0
53,A002,R051,02-03-05,59 ST,NQR456W,09/18/2019,11636514,1414983,09/17/2019,11634385.0,1414820.0,2129.0,163.0
54,A002,R051,02-03-05,59 ST,NQR456W,09/19/2019,11638688,1415131,09/18/2019,11636514.0,1414983.0,2174.0,148.0
55,A002,R051,02-03-05,59 ST,NQR456W,09/20/2019,11640755,1415272,09/19/2019,11638688.0,1415131.0,2067.0,141.0
57,A002,R051,02-03-06,59 ST,NQR456W,09/15/2019,9106088,502404,09/14/2019,9105329.0,502384.0,759.0,20.0
58,A002,R051,02-03-06,59 ST,NQR456W,09/16/2019,9106675,502425,09/15/2019,9106088.0,502404.0,587.0,21.0
59,A002,R051,02-03-06,59 ST,NQR456W,09/17/2019,9108186,502452,09/16/2019,9106675.0,502425.0,1511.0,27.0
60,A002,R051,02-03-06,59 ST,NQR456W,09/18/2019,9109736,502475,09/17/2019,9108186.0,502452.0,1550.0,23.0
61,A002,R051,02-03-06,59 ST,NQR456W,09/19/2019,9111291,502506,09/18/2019,9109736.0,502475.0,1555.0,31.0
62,A002,R051,02-03-06,59 ST,NQR456W,09/20/2019,9112930,502531,09/19/2019,9111291.0,502506.0,1639.0,25.0
64,A002,R051,02-05-00,59 ST,NQR456W,09/15/2019,165,0,09/14/2019,164.0,0.0,1.0,0.0
65,A002,R051,02-05-00,59 ST,NQR456W,09/16/2019,165,0,09/15/2019,165.0,0.0,0.0,0.0
66,A002,R051,02-05-00,59 ST,NQR456W,09/17/2019,166,0,09/16/2019,165.0,0.0,1.0,0.0
67,A002,R051,02-05-00,59 ST,NQR456W,09/18/2019,166,0,09/17/2019,166.0,0.0,0.0,0.0
68,A002,R051,02-05-00,59 ST,NQR456W,09/19/2019,166,0,09/18/2019,166.0,0.0,0.0,0.0
69,A002,R051,02-05-00,59 ST,NQR456W,09/20/2019,166,0,09/19/2019,166.0,0.0,0.0,0.0
71,A002,R051,02-05-01,59 ST,NQR456W,09/15/2019,0,835,09/14/2019,0.0,835.0,0.0,0.0
72,A002,R051,02-05-01,59 ST,NQR456W,09/16/2019,0,836,09/15/2019,0.0,835.0,0.0,1.0
73,A002,R051,02-05-01,59 ST,NQR456W,09/17/2019,0,836,09/16/2019,0.0,836.0,0.0,0.0
74,A002,R051,02-05-01,59 ST,NQR456W,09/18/2019,0,836,09/17/2019,0.0,836.0,0.0,0.0
75,A002,R051,02-05-01,59 ST,NQR456W,09/19/2019,0,836,09/18/2019,0.0,836.0,0.0,0.0
76,A002,R051,02-05-01,59 ST,NQR456W,09/20/2019,0,836,09/19/2019,0.0,836.0,0.0,0.0
78,A002,R051,02-06-00,59 ST,NQR456W,09/15/2019,45440,2437,09/14/2019,44919.0,2391.0,521.0,46.0
79,A002,R051,02-06-00,59 ST,NQR456W,09/16/2019,45905,2468,09/15/2019,45440.0,2437.0,465.0,31.0
80,A002,R051,02-06-00,59 ST,NQR456W,09/17/2019,46932,2504,09/16/2019,45905.0,2468.0,1027.0,36.0
81,A002,R051,02-06-00,59 ST,NQR456W,09/18/2019,48068,2545,09/17/2019,46932.0,2504.0,1136.0,41.0
82,A002,R051,02-06-00,59 ST,NQR456W,09/19/2019,49213,2587,09/18/2019,48068.0,2545.0,1145.0,42.0
83,A002,R051,02-06-00,59 ST,NQR456W,09/20/2019,50315,2631,09/19/2019,49213.0,2587.0,1102.0,44.0
2018,A077,R028,03-00-00,FULTON ST,ACJZ2345,09/15/2019,177764,50137,09/14/2019,177229.0,50001.0,535.0,136.0
2019,A077,R028,03-00-00,FULTON ST,ACJZ2345,09/16/2019,178184,50258,09/15/2019,177764.0,50137.0,420.0,121.0
2020,A077,R028,03-00-00,FULTON ST,ACJZ2345,09/17/2019,179474,50548,09/16/2019,178184.0,50258.0,1290.0,290.0
2021,A077,R028,03-00-00,FULTON ST,ACJZ2345,09/18/2019,180761,50854,09/17/2019,179474.0,50548.0,1287.0,306.0
2022,A077,R028,03-00-00,FULTON ST,ACJZ2345,09/19/2019,182034,51144,09/18/2019,180761.0,50854.0,1273.0,290.0
2023,A077,R028,03-00-00,FULTON ST,ACJZ2345,09/20/2019,183344,51435,09/19/2019,182034.0,51144.0,1310.0,291.0
2025,A077,R028,03-03-00,FULTON ST,ACJZ2345,09/15/2019,4648701,2711409,09/14/2019,4648300.0,2710756.0,401.0,653.0
2026,A077,R028,03-03-00,FULTON ST,ACJZ2345,09/16/2019,4649020,2711969,09/15/2019,4648701.0,2711409.0,319.0,560.0
2027,A077,R028,03-03-00,FULTON ST,ACJZ2345,09/17/2019,4649829,2712924,09/16/2019,4649020.0,2711969.0,809.0,955.0
2028,A077,R028,03-03-00,FULTON ST,ACJZ2345,09/18/2019,4650693,2713901,09/17/2019,4649829.0,2712924.0,864.0,977.0
2029,A077,R028,03-03-00,FULTON ST,ACJZ2345,09/19/2019,4651557,2714983,09/18/2019,4650693.0,2713901.0,864.0,1082.0
2030,A077,R028,03-03-00,FULTON ST,ACJZ2345,09/20/2019,4652351,2716166,09/19/2019,4651557.0,2714983.0,794.0,1183.0
2032,A077,R028,03-03-01,FULTON ST,ACJZ2345,09/15/2019,1309603004,537750550,09/14/2019,1309602689.0,537750073.0,315.0,477.0
2033,A077,R028,03-03-01,FULTON ST,ACJZ2345,09/16/2019,1309603271,537750922,09/15/2019,1309603004.0,537750550.0,267.0,372.0
2034,A077,R028,03-03-01,FULTON ST,ACJZ2345,09/17/2019,1309603925,537751520,09/16/2019,1309603271.0,537750922.0,654.0,598.0
2035,A077,R028,03-03-01,FULTON ST,ACJZ2345,09/18/2019,1309604623,537752158,09/17/2019,1309603925.0,537751520.0,698.0,638.0
2036,A077,R028,03-03-01,FULTON ST,ACJZ2345,09/19/2019,1309605312,537752833,09/18/2019,1309604623.0,537752158.0,689.0,675.0
2037,A077,R028,03-03-01,FULTON ST,ACJZ2345,09/20/2019,1309606052,537753510,09/19/2019,1309605312.0,537752833.0,740.0,677.0
2039,A077,R028,03-03-02,FULTON ST,ACJZ2345,09/15/2019,1662375746,1141572953,09/14/2019,1662375380.0,1141572574.0,366.0,379.0
2040,A077,R028,03-03-02,FULTON ST,ACJZ2345,09/16/2019,1662376062,1141573274,09/15/2019,1662375746.0,1141572953.0,316.0,321.0
2041,A077,R028,03-03-02,FULTON ST,ACJZ2345,09/17/2019,1662377177,1141573756,09/16/2019,1662376062.0,1141573274.0,1115.0,482.0
2042,A077,R028,03-03-02,FULTON ST,ACJZ2345,09/18/2019,1662378276,1141574307,09/17/2019,1662377177.0,1141573756.0,1099.0,551.0
2043,A077,R028,03-03-02,FULTON ST,ACJZ2345,09/19/2019,1662379441,1141574815,09/18/2019,1662378276.0,1141574307.0,1165.0,508.0
2044,A077,R028,03-03-02,FULTON ST,ACJZ2345,09/20/2019,1662380596,1141575373,09/19/2019,1662379441.0,1141574815.0,1155.0,558.0
2046,A081,R028,04-00-00,FULTON ST,ACJZ2345,09/15/2019,183153,1125919,09/14/2019,183053.0,1125395.0,100.0,524.0
2047,A081,R028,04-00-00,FULTON ST,ACJZ2345,09/16/2019,183252,1126321,09/15/2019,183153.0,1125919.0,99.0,402.0
2048,A081,R028,04-00-00,FULTON ST,ACJZ2345,09/17/2019,183423,1127144,09/16/2019,183252.0,1126321.0,171.0,823.0
2049,A081,R028,04-00-00,FULTON ST,ACJZ2345,09/18/2019,183646,1128034,09/17/2019,183423.0,1127144.0,223.0,890.0
2050,A081,R028,04-00-00,FULTON ST,ACJZ2345,09/19/2019,183841,1128932,09/18/2019,183646.0,1128034.0,195.0,898.0
2051,A081,R028,04-00-00,FULTON ST,ACJZ2345,09/20/2019,184038,1129813,09/19/2019,183841.0,1128932.0,197.0,881.0
2053,A081,R028,04-00-01,FULTON ST,ACJZ2345,09/15/2019,384238,811512,09/14/2019,384061.0,811159.0,177.0,353.0
2054,A081,R028,04-00-01,FULTON ST,ACJZ2345,09/16/2019,384413,811842,09/15/2019,384238.0,811512.0,175.0,330.0
2055,A081,R028,04-00-01,FULTON ST,ACJZ2345,09/17/2019,384628,812368,09/16/2019,384413.0,811842.0,215.0,526.0
2056,A081,R028,04-00-01,FULTON ST,ACJZ2345,09/18/2019,384890,813000,09/17/2019,384628.0,812368.0,262.0,632.0
2057,A081,R028,04-00-01,FULTON ST,ACJZ2345,09/19/2019,385125,813566,09/18/2019,384890.0,813000.0,235.0,566.0
2058,A081,R028,04-00-01,FULTON ST,ACJZ2345,09/20/2019,385406,814209,09/19/2019,385125.0,813566.0,281.0,643.0
2060,A081,R028,04-00-02,FULTON ST,ACJZ2345,09/15/2019,692607,1441652,09/14/2019,692363.0,1441044.0,244.0,608.0
2061,A081,R028,04-00-02,FULTON ST,ACJZ2345,09/16/2019,692861,1442171,09/15/2019,692607.0,1441652.0,254.0,519.0
2062,A081,R028,04-00-02,FULTON ST,ACJZ2345,09/17/2019,693212,1443114,09/16/2019,692861.0,1442171.0,351.0,943.0
2063,A081,R028,04-00-02,FULTON ST,ACJZ2345,09/18/2019,693580,1444195,09/17/2019,693212.0,1443114.0,368.0,1081.0
2064,A081,R028,04-00-02,FULTON ST,ACJZ2345,09/19/2019,693907,1445260,09/18/2019,693580.0,1444195.0,327.0,1065.0
2065,A081,R028,04-00-02,FULTON ST,ACJZ2345,09/20/2019,694321,1446345,09/19/2019,693907.0,1445260.0,414.0,1085.0
2067,A081,R028,04-00-03,FULTON ST,ACJZ2345,09/15/2019,801088,2517947,09/14/2019,800699.0,2516719.0,389.0,1228.0
2068,A081,R028,04-00-03,FULTON ST,ACJZ2345,09/16/2019,801404,2519012,09/15/2019,801088.0,2517947.0,316.0,1065.0
2069,A081,R028,04-00-03,FULTON ST,ACJZ2345,09/17/2019,801890,2520803,09/16/2019,801404.0,2519012.0,486.0,1791.0
2070,A081,R028,04-00-03,FULTON ST,ACJZ2345,09/18/2019,802400,2522665,09/17/2019,801890.0,2520803.0,510.0,1862.0
2071,A081,R028,04-00-03,FULTON ST,ACJZ2345,09/19/2019,802888,2524558,09/18/2019,802400.0,2522665.0,488.0,1893.0
2072,A081,R028,04-00-03,FULTON ST,ACJZ2345,09/20/2019,803418,2526491,09/19/2019,802888.0,2524558.0,530.0,1933.0
2074,A081,R028,04-00-04,FULTON ST,ACJZ2345,09/15/2019,118698771,355726603,09/14/2019,118698105.0,355724518.0,666.0,2085.0
2075,A081,R028,04-00-04,FULTON ST,ACJZ2345,09/16/2019,118699341,355728374,09/15/2019,118698771.0,355726603.0,570.0,1771.0
2076,A081,R028,04-00-04,FULTON ST,ACJZ2345,09/17/2019,118700339,355731222,09/16/2019,118699341.0,355728374.0,998.0,2848.0
2077,A081,R028,04-00-04,FULTON ST,ACJZ2345,09/18/2019,118701268,355734147,09/17/2019,118700339.0,355731222.0,929.0,2925.0
2078,A081,R028,04-00-04,FULTON ST,ACJZ2345,09/19/2019,118702234,355737203,09/18/2019,118701268.0,355734147.0,966.0,3056.0
2079,A081,R028,04-00-04,FULTON ST,ACJZ2345,09/20/2019,118703344,355740069,09/19/2019,118702234.0,355737203.0,1110.0,2866.0
2081,A081,R028,04-05-00,FULTON ST,ACJZ2345,09/15/2019,2366,0,09/14/2019,2366.0,0.0,0.0,0.0
